v8-version,9,7,106,5,0
v8-platform,linux,linux
shared-library,/home/raf/.deno/bin/deno,0x556367011000,0x55636a902000,0
shared-library,/usr/lib/libc-2.33.so,0x7f056c8e3000,0x7f056ca54000,0
shared-library,/usr/lib/libm-2.33.so,0x7f056caaf000,0x7f056cb58000,0
shared-library,/usr/lib/libpthread-2.33.so,0x7f056cbf3000,0x7f056cc09000,0
shared-library,/usr/lib/librt-2.33.so,0x7f056cc14000,0x7f056cc1b000,0
shared-library,/usr/lib/libgcc_s.so.1,0x7f056cc1f000,0x7f056cc34000,0
shared-library,/usr/lib/libdl-2.33.so,0x7f056cc3a000,0x7f056cc3e000,0
shared-library,/usr/lib/ld-2.33.so,0x7f056cc66000,0x7f056cc8b000,0
shared-library,[vdso],0x7fff397ee000,0x7fff397f0000,0
shared-library-end
profiler,begin,1000
tick,0x7f056c96c692,777,0,0x0,6
new,CodeRange,0xb7b00000000,0
tick,0x55636930fa90,1917,0,0x0,6
new,MemoryChunk,0xb7b08000000,262144
tick,0x556369003800,2799,0,0x0,6
tick,0x556368feefa0,3993,0,0x0,6
new,MemoryChunk,0xb7b08040000,262144
new,MemoryChunk,0xb7b08080000,262144
heap-capacity,507344
heap-available,1518652320
tick,0x7f056c9d289c,5142,0,0x0,6
new,MemoryChunk,0xb7b080c0000,262144
tick,0x556369190f3a,6099,0,0x0,6
tick,0x556368c753b6,7185,0,0x0,6
new,MemoryChunk,0xb7b08100000,262144
new,MemoryChunk,0xb7b08140000,262144
new,MemoryChunk,0xb7b08180000,180224
tick,0x556369191551,8278,0,0x0,6
new,MemoryChunk,0xb7b081c0000,262144
new,MemoryChunk,0xb7b08200000,262144
new,MemoryChunk,0xb7b08240000,159744
tick,0x7f056ca46576,9341,0,0x0,6
new,MemoryChunk,0xb7b08280000,262144
new,MemoryChunk,0xb7b00000000,262144
tick,0x556369190ebe,10371,0,0x0,6
code-creation,Builtin,2,11557,0x5563698413c0,1004,Call_ReceiverIsAny_WithFeedback
code-creation,Builtin,2,11569,0x5563698417c0,752,CallProxy
code-creation,Builtin,2,11580,0x556369841ac0,124,CallVarargs
code-creation,Builtin,2,11591,0x556369841b40,980,CallWithSpread
code-creation,Builtin,2,11612,0x556369841f40,2052,CallWithSpread_Baseline
code-creation,Builtin,2,11624,0x556369842780,2012,CallWithSpread_WithFeedback
code-creation,Builtin,2,11636,0x556369842f80,892,CallWithArrayLike
code-creation,Builtin,2,11648,0x556369843300,1912,CallWithArrayLike_WithFeedback
code-creation,Builtin,2,11661,0x556369843a80,124,CallForwardVarargs
code-creation,Builtin,2,11673,0x556369843b00,124,CallFunctionForwardVarargs
code-creation,Builtin,2,11685,0x556369843b80,156,CallFunctionTemplate_CheckAccess
code-creation,Builtin,2,11697,0x556369843c40,264,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,2,11711,0x556369843d80,364,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,2,11726,0x556369843f00,32,ConstructFunction
code-creation,Builtin,2,11738,0x556369843f40,120,ConstructBoundFunction
code-creation,Builtin,2,11749,0x556369843fc0,28,ConstructedNonConstructable
code-creation,Builtin,2,11762,0x556369844000,108,Construct
code-creation,Builtin,2,11773,0x556369844080,124,ConstructVarargs
code-creation,Builtin,2,11784,0x556369844100,996,ConstructWithSpread
code-creation,Builtin,2,11797,0x556369844500,1788,ConstructWithSpread_Baseline
code-creation,Builtin,2,11807,0x556369844c00,1792,ConstructWithSpread_WithFeedback
code-creation,Builtin,2,11820,0x556369845340,960,ConstructWithArrayLike
code-creation,Builtin,2,11831,0x556369845740,1732,ConstructWithArrayLike_WithFeedback
code-creation,Builtin,2,11843,0x556369845e40,164,ConstructForwardVarargs
code-creation,Builtin,2,11855,0x556369845f00,164,ConstructFunctionForwardVarargs
code-creation,Builtin,2,11868,0x556369845fc0,828,Construct_Baseline
code-creation,Builtin,2,11881,0x556369846300,836,Construct_WithFeedback
code-creation,Builtin,2,11894,0x556369846680,452,JSConstructStubGeneric
code-creation,Builtin,2,11908,0x556369846880,340,JSBuiltinsConstructStub
code-creation,Builtin,2,11920,0x556369846a00,704,FastNewObject
code-creation,Builtin,2,11932,0x556369846d00,300,FastNewClosure
code-creation,Builtin,2,11945,0x556369846e40,740,ConstructProxy
code-creation,Builtin,2,11958,0x556369847140,196,JSEntry
code-creation,Builtin,2,11970,0x556369847240,196,JSConstructEntry
code-creation,Builtin,2,11982,0x556369847340,196,JSRunMicrotasksEntry
code-creation,Builtin,2,11995,0x556369847440,100,JSEntryTrampoline
code-creation,Builtin,2,12008,0x5563698474c0,100,JSConstructEntryTrampoline
code-creation,Builtin,2,12021,0x556369847540,316,ResumeGeneratorTrampoline
code-creation,Builtin,2,12035,0x556369847680,1168,StringCodePointAt
code-creation,Builtin,2,12048,0x556369847b40,1624,StringFromCodePointAt
code-creation,Builtin,2,12061,0x5563698481c0,568,StringEqual
code-creation,Builtin,2,12073,0x556369848400,300,StringGreaterThan
code-creation,Builtin,2,12085,0x556369848540,300,StringGreaterThanOrEqual
code-creation,Builtin,2,12099,0x556369848680,300,StringLessThan
code-creation,Builtin,2,12111,0x5563698487c0,300,StringLessThanOrEqual
code-creation,Builtin,2,12124,0x556369848900,2568,StringSubstring
code-creation,Builtin,2,12137,0x556369849340,80,OrderedHashTableHealIndex
code-creation,Builtin,2,12150,0x5563698493c0,1196,InterpreterEntryTrampoline
code-creation,Builtin,2,12163,0x556369849880,76,InterpreterPushArgsThenCall
code-creation,Builtin,2,12176,0x556369849900,84,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,2,12190,0x556369849980,84,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,2,12205,0x556369849a00,84,InterpreterPushArgsThenConstruct
code-creation,Builtin,2,12218,0x556369849a80,84,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,2,12233,0x556369849b00,88,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,2,12248,0x556369849b80,92,InterpreterEnterAtBytecode
code-creation,Builtin,2,12261,0x556369849c00,224,InterpreterEnterAtNextBytecode
code-creation,Builtin,2,12275,0x556369849d00,56,InterpreterOnStackReplacement
code-creation,Builtin,2,12289,0x556369849d40,604,BaselineOutOfLinePrologue
code-creation,Builtin,2,12302,0x556369849fc0,60,BaselineOnStackReplacement
code-creation,Builtin,2,12320,0x55636984a000,88,BaselineLeaveFrame
code-creation,Builtin,2,12333,0x55636984a080,236,BaselineOrInterpreterEnterAtBytecode
code-creation,Builtin,2,12347,0x55636984a180,244,BaselineOrInterpreterEnterAtNextBytecode
code-creation,Builtin,2,12394,0x55636984a280,208,InterpreterOnStackReplacement_ToBaseline
code-creation,Builtin,2,12408,0x55636984a380,1044,CompileLazy
code-creation,Builtin,2,12420,0x55636984a7c0,76,CompileLazyDeoptimizedCode
code-creation,Builtin,2,12433,0x55636984a840,260,InstantiateAsmJs
code-creation,Builtin,2,12446,0x55636984a980,32,NotifyDeoptimized
code-creation,Builtin,2,12459,0x55636984a9c0,48,ContinueToCodeStubBuiltin
code-creation,Builtin,2,12472,0x55636984aa00,56,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,2,12491,0x55636984aa40,52,ContinueToJavaScriptBuiltin
code-creation,Builtin,2,12505,0x55636984aa80,60,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,2,12519,0x55636984aac0,292,CallApiCallback
code-creation,Builtin,2,12532,0x55636984ac00,288,CallApiGetter
code-creation,Builtin,2,12544,0x55636984ad40,12,HandleApiCall
code-creation,Builtin,2,12556,0x55636984ad80,12,HandleApiCallAsFunction
code-creation,Builtin,2,12569,0x55636984adc0,12,HandleApiCallAsConstructor
code-creation,Builtin,2,12582,0x55636984ae00,56,AllocateInYoungGeneration
code-creation,Builtin,2,12595,0x55636984ae40,52,AllocateRegularInYoungGeneration
code-creation,Builtin,2,12609,0x55636984ae80,56,AllocateInOldGeneration
code-creation,Builtin,2,12622,0x55636984aec0,52,AllocateRegularInOldGeneration
code-creation,Builtin,2,12636,0x55636984af00,444,CopyFastSmiOrObjectElements
code-creation,Builtin,2,12649,0x55636984b0c0,500,GrowFastDoubleElements
code-creation,Builtin,2,12662,0x55636984b2c0,408,GrowFastSmiOrObjectElements
code-creation,Builtin,2,12675,0x55636984b480,404,DebugBreakTrampoline
code-creation,Builtin,2,12688,0x55636984b640,184,ToNumber
code-creation,Builtin,2,12699,0x55636984b700,288,ToNumber_Baseline
code-creation,Builtin,2,12712,0x55636984b840,348,ToNumeric_Baseline
code-creation,Builtin,2,12725,0x55636984b9c0,104,PlainPrimitiveToNumber
code-creation,Builtin,2,12738,0x55636984ba40,216,ToNumberConvertBigInt
code-creation,Builtin,2,12751,0x55636984bb40,136,Typeof
code-creation,Builtin,2,12763,0x55636984bc00,104,BigIntToI64
code-creation,Builtin,2,12775,0x55636984bc80,4,BigIntToI32Pair
code-creation,Builtin,2,12788,0x55636984bcc0,212,I64ToBigInt
code-creation,Builtin,2,12800,0x55636984bdc0,4,I32PairToBigInt
code-creation,Builtin,2,12812,0x55636984be00,116,ToBooleanLazyDeoptContinuation
code-creation,Builtin,2,12826,0x55636984be80,4636,KeyedLoadIC_PolymorphicName
code-creation,Builtin,2,12840,0x55636984d0c0,16136,KeyedStoreIC_Megamorphic
code-creation,Builtin,2,12853,0x556369851000,14480,KeyedDefineOwnIC_Megamorphic
code-creation,Builtin,2,12867,0x5563698548c0,324,LoadGlobalIC_NoFeedback
code-creation,Builtin,2,12880,0x556369854a40,68,LoadIC_FunctionPrototype
code-creation,Builtin,2,12893,0x556369854ac0,8,LoadIC_StringLength
code-creation,Builtin,2,12906,0x556369854b00,16,LoadIC_StringWrapperLength
code-creation,Builtin,2,12919,0x556369854b40,3376,LoadIC_NoFeedback
code-creation,Builtin,2,12932,0x556369855880,32,StoreGlobalIC_Slow
code-creation,Builtin,2,12945,0x5563698558c0,7648,StoreIC_NoFeedback
code-creation,Builtin,2,12958,0x5563698576c0,6388,StoreOwnIC_NoFeedback
code-creation,Builtin,2,12971,0x556369858fc0,192,KeyedLoadIC_SloppyArguments
code-creation,Builtin,2,12984,0x5563698590c0,68,LoadIndexedInterceptorIC
code-creation,Builtin,2,12998,0x556369859140,260,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,2,13012,0x556369859280,260,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,2,13030,0x5563698593c0,260,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,2,13046,0x556369859500,260,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,2,13061,0x556369859640,14304,StoreFastElementIC_Standard
code-creation,Builtin,2,13075,0x55636985ce40,10016,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,2,13093,0x55636985f580,13648,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,2,13108,0x556369862b00,5776,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,2,13122,0x5563698641c0,8676,ElementsTransitionAndStore_Standard
code-creation,Builtin,2,13136,0x5563698663c0,19864,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,2,13151,0x55636986b180,8676,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,2,13166,0x55636986d380,11364,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,2,13181,0x556369870000,864,KeyedHasIC_PolymorphicName
code-creation,Builtin,2,13194,0x556369870380,172,KeyedHasIC_SloppyArguments
code-creation,Builtin,2,13207,0x556369870440,68,HasIndexedInterceptorIC
code-creation,Builtin,2,13220,0x5563698704c0,272,DynamicCheckMaps
code-creation,Builtin,2,13233,0x556369870600,228,DynamicCheckMapsWithFeedbackVector
code-creation,Builtin,2,13246,0x556369870700,176,EnqueueMicrotask
code-creation,Builtin,2,13259,0x5563698707c0,8,RunMicrotasksTrampoline
code-creation,Builtin,2,13272,0x556369870800,3824,RunMicrotasks
code-creation,Builtin,2,13283,0x556369871700,2820,HasProperty
code-creation,Builtin,2,13296,0x556369872240,1200,DeleteProperty
code-creation,Builtin,2,13308,0x556369872700,2028,CopyDataProperties
code-creation,Builtin,2,13320,0x556369872f00,9788,SetDataProperties
code-creation,Builtin,2,13333,0x556369875540,28,Abort
code-creation,Builtin,2,13345,0x556369875580,28,AbortCSADcheck
code-creation,Builtin,2,13357,0x5563698755c0,12,EmptyFunction
code-creation,Builtin,2,13369,0x556369875600,12,Illegal
code-creation,Builtin,2,13382,0x556369875640,12,StrictPoisonPillThrower
code-creation,Builtin,2,13394,0x556369875680,12,UnsupportedThrower
code-creation,Builtin,2,13407,0x5563698756c0,60,ReturnReceiver
code-creation,Builtin,2,13420,0x556369875700,36,ArrayConstructor
code-creation,Builtin,2,13432,0x556369875740,400,ArrayConstructorImpl
code-creation,Builtin,2,13444,0x556369875900,204,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,2,13459,0x556369875a00,204,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,2,13474,0x556369875b00,168,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,2,13490,0x556369875bc0,168,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,2,13505,0x556369875c80,168,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,2,13520,0x556369875d40,168,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,2,13539,0x556369875e00,180,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,2,13556,0x556369875ec0,180,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,2,13571,0x556369875f80,548,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,2,13587,0x5563698761c0,512,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,2,13601,0x556369876400,476,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,2,13618,0x556369876600,436,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,2,13633,0x5563698767c0,476,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,2,13649,0x5563698769c0,436,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,2,13666,0x556369876b80,480,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,2,13683,0x556369876d80,444,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,2,13698,0x556369876f40,56,ArrayNArgumentsConstructor
code-creation,Builtin,2,13708,0x556369876f80,12,ArrayConcat
code-creation,Builtin,2,13719,0x556369876fc0,12,ArrayPrototypeFill
code-creation,Builtin,2,13728,0x556369877000,956,ArrayIncludesSmiOrObject
code-creation,Builtin,2,13739,0x5563698773c0,152,ArrayIncludesPackedDoubles
code-creation,Builtin,2,13755,0x556369877480,228,ArrayIncludesHoleyDoubles
code-creation,Builtin,2,13765,0x556369877580,548,ArrayIncludes
code-creation,Builtin,2,13775,0x5563698777c0,868,ArrayIndexOfSmiOrObject
code-creation,Builtin,2,13785,0x556369877b40,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,2,13795,0x556369877bc0,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,2,13806,0x556369877c40,548,ArrayIndexOf
code-creation,Builtin,2,13815,0x556369877e80,12,ArrayPop
code-creation,Builtin,2,13824,0x556369877ec0,640,ArrayPrototypePop
code-creation,Builtin,2,13833,0x556369878180,12,ArrayPush
code-creation,Builtin,2,13842,0x5563698781c0,2492,ArrayPrototypePush
code-creation,Builtin,2,13852,0x556369878b80,12,ArrayShift
code-creation,Builtin,2,13862,0x556369878bc0,12,ArrayUnshift
code-creation,Builtin,2,13871,0x556369878c00,992,CloneFastJSArray
code-creation,Builtin,2,13882,0x556369879000,2324,CloneFastJSArrayFillingHoles
code-creation,Builtin,2,13895,0x556369879940,996,ExtractFastJSArray
code-creation,Builtin,2,13907,0x556369879d40,248,ArrayPrototypeEntries
code-creation,Builtin,2,13920,0x556369879e40,244,ArrayPrototypeKeys
code-creation,Builtin,2,13931,0x556369879f40,248,ArrayPrototypeValues
code-creation,Builtin,2,13941,0x55636987a040,4656,ArrayIteratorPrototypeNext
code-creation,Builtin,2,13952,0x55636987b280,4376,FlattenIntoArray
code-creation,Builtin,2,13961,0x55636987c3c0,4352,FlatMapIntoArray
code-creation,Builtin,2,13971,0x55636987d500,384,ArrayPrototypeFlat
code-creation,Builtin,2,13981,0x55636987d6c0,436,ArrayPrototypeFlatMap
code-creation,Builtin,2,13991,0x55636987d880,12,ArrayBufferConstructor
code-creation,Builtin,2,14002,0x55636987d8c0,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,2,14014,0x55636987d900,12,ArrayBufferPrototypeSlice
code-creation,Builtin,2,14026,0x55636987d940,12,ArrayBufferPrototypeResize
code-creation,Builtin,2,14037,0x55636987d980,860,AsyncFunctionEnter
code-creation,Builtin,2,14047,0x55636987dd00,140,AsyncFunctionReject
code-creation,Builtin,2,14057,0x55636987ddc0,128,AsyncFunctionResolve
code-creation,Builtin,2,14068,0x55636987de80,12,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,2,14080,0x55636987dec0,2908,AsyncFunctionAwaitCaught
code-creation,Builtin,2,14091,0x55636987ea40,2908,AsyncFunctionAwaitUncaught
code-creation,Builtin,2,14103,0x55636987f5c0,168,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,2,14114,0x55636987f680,168,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,2,14126,0x55636987f740,12,BigIntConstructor
code-creation,Builtin,2,14135,0x55636987f780,12,BigIntAsUintN
code-creation,Builtin,2,14146,0x55636987f7c0,12,BigIntAsIntN
code-creation,Builtin,2,14155,0x55636987f800,12,BigIntPrototypeToLocaleString
code-creation,Builtin,2,14166,0x55636987f840,12,BigIntPrototypeToString
code-creation,Builtin,2,14177,0x55636987f880,12,BigIntPrototypeValueOf
code-creation,Builtin,2,14187,0x55636987f8c0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,2,14198,0x55636987f900,12,CallSitePrototypeGetEnclosingColumnNumber
code-creation,Builtin,2,14211,0x55636987f940,12,CallSitePrototypeGetEnclosingLineNumber
code-creation,Builtin,2,14225,0x55636987f980,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,2,14237,0x55636987f9c0,12,CallSitePrototypeGetFileName
code-creation,Builtin,2,14248,0x55636987fa00,12,CallSitePrototypeGetFunction
code-creation,Builtin,2,14259,0x55636987fa40,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,2,14271,0x55636987fa80,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,2,14282,0x55636987fac0,12,CallSitePrototypeGetMethodName
code-creation,Builtin,2,14294,0x55636987fb00,12,CallSitePrototypeGetPosition
code-creation,Builtin,2,14304,0x55636987fb40,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,2,14315,0x55636987fb80,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,2,14327,0x55636987fbc0,12,CallSitePrototypeGetThis
code-creation,Builtin,2,14338,0x55636987fc00,12,CallSitePrototypeGetTypeName
code-creation,Builtin,2,14348,0x55636987fc40,12,CallSitePrototypeIsAsync
code-creation,Builtin,2,14364,0x55636987fc80,12,CallSitePrototypeIsConstructor
code-creation,Builtin,2,14376,0x55636987fcc0,12,CallSitePrototypeIsEval
code-creation,Builtin,2,14386,0x55636987fd00,12,CallSitePrototypeIsNative
code-creation,Builtin,2,14396,0x55636987fd40,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,2,14407,0x55636987fd80,12,CallSitePrototypeIsToplevel
code-creation,Builtin,2,14419,0x55636987fdc0,12,CallSitePrototypeToString
code-creation,Builtin,2,14429,0x55636987fe00,12,ConsoleDebug
code-creation,Builtin,2,14438,0x55636987fe40,12,ConsoleError
code-creation,Builtin,2,14449,0x55636987fe80,12,ConsoleInfo
code-creation,Builtin,2,14458,0x55636987fec0,12,ConsoleLog
code-creation,Builtin,2,14467,0x55636987ff00,12,ConsoleWarn
code-creation,Builtin,2,14476,0x55636987ff40,12,ConsoleDir
code-creation,Builtin,2,14485,0x55636987ff80,12,ConsoleDirXml
code-creation,Builtin,2,14494,0x55636987ffc0,12,ConsoleTable
code-creation,Builtin,2,14504,0x556369880000,12,ConsoleTrace
code-creation,Builtin,2,14514,0x556369880040,12,ConsoleGroup
code-creation,Builtin,2,14523,0x556369880080,12,ConsoleGroupCollapsed
code-creation,Builtin,2,14532,0x5563698800c0,12,ConsoleGroupEnd
code-creation,Builtin,2,14543,0x556369880100,12,ConsoleClear
code-creation,Builtin,2,14551,0x556369880140,12,ConsoleCount
code-creation,Builtin,2,14562,0x556369880180,12,ConsoleCountReset
code-creation,Builtin,2,14571,0x5563698801c0,12,ConsoleAssert
code-creation,Builtin,2,14582,0x556369880200,12,ConsoleProfile
code-creation,Builtin,2,14596,0x556369880240,12,ConsoleProfileEnd
code-creation,Builtin,2,14606,0x556369880280,12,ConsoleTime
code-creation,Builtin,2,14615,0x5563698802c0,12,ConsoleTimeLog
code-creation,Builtin,2,14625,0x556369880300,12,ConsoleTimeEnd
code-creation,Builtin,2,14633,0x556369880340,12,ConsoleTimeStamp
code-creation,Builtin,2,14644,0x556369880380,12,ConsoleContext
code-creation,Builtin,2,14661,0x5563698803c0,12,DataViewConstructor
code-creation,Builtin,2,14675,0x556369880400,12,DateConstructor
code-creation,Builtin,2,14688,0x556369880440,220,DatePrototypeGetDate
code-creation,Builtin,2,14698,0x556369880540,220,DatePrototypeGetDay
code-creation,Builtin,2,14708,0x556369880640,220,DatePrototypeGetFullYear
code-creation,Builtin,2,14720,0x556369880740,220,DatePrototypeGetHours
code-creation,Builtin,2,14731,0x556369880840,200,DatePrototypeGetMilliseconds
code-creation,Builtin,2,14743,0x556369880940,220,DatePrototypeGetMinutes
code-creation,Builtin,2,14755,0x556369880a40,220,DatePrototypeGetMonth
code-creation,Builtin,2,14768,0x556369880b40,220,DatePrototypeGetSeconds
code-creation,Builtin,2,14780,0x556369880c40,124,DatePrototypeGetTime
code-creation,Builtin,2,14792,0x556369880cc0,200,DatePrototypeGetTimezoneOffset
code-creation,Builtin,2,14803,0x556369880dc0,200,DatePrototypeGetUTCDate
code-creation,Builtin,2,14810,0x556369880ec0,200,DatePrototypeGetUTCDay
code-creation,Builtin,2,14816,0x556369880fc0,200,DatePrototypeGetUTCFullYear
code-creation,Builtin,2,14823,0x5563698810c0,200,DatePrototypeGetUTCHours
code-creation,Builtin,2,14830,0x5563698811c0,200,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,2,14838,0x5563698812c0,200,DatePrototypeGetUTCMinutes
code-creation,Builtin,2,14848,0x5563698813c0,200,DatePrototypeGetUTCMonth
code-creation,Builtin,2,14858,0x5563698814c0,200,DatePrototypeGetUTCSeconds
code-creation,Builtin,2,14868,0x5563698815c0,124,DatePrototypeValueOf
